@RELATION faces_or_vegetables
@ATTRIBUTE mean_red NUMERIC
@ATTRIBUTE mean_green NUMERIC
@ATTRIBUTE mean_blue NUMERIC
@ATTRIBUTE mean_saturation NUMERIC
@ATTRIBUTE relative_edge_amount NUMERIC
@ATTRIBUTE class {faces, vegetables}
@DATA
189.514874, 161.524422, 157.375824, 0.209062, 0.150030, faces
180.347018, 152.155492, 161.480872, 0.208636, 0.388194, faces
202.840386, 166.792931, 198.111667, 0.210880, 0.338755, faces
190.839366, 150.849722, 139.795296, 0.286263, 0.265058, faces
182.401530, 156.747839, 158.356676, 0.180931, 0.389428, faces
172.703916, 144.282787, 123.181512, 0.296171, 0.408197, faces
199.597943, 140.283577, 126.826729, 0.376528, 0.122555, faces
81.593205, 60.961508, 63.360055, 0.312485, 0.162490, faces
179.404009, 153.874656, 154.597736, 0.198065, 0.342077, faces
170.070595, 128.133941, 120.465030, 0.316467, 0.211268, faces
164.765396, 129.641078, 132.650140, 0.256520, 0.243488, faces
143.483041, 98.366194, 86.602267, 0.439351, 0.434245, faces
140.061762, 104.846091, 90.234249, 0.387504, 0.335708, faces
165.272207, 138.054711, 131.959660, 0.257480, 0.401011, faces
184.808662, 136.735445, 123.273101, 0.357913, 0.277000, faces
155.206327, 118.752187, 111.465821, 0.307287, 0.102347, faces
152.490739, 131.877853, 128.574932, 0.225766, 0.146427, faces
155.638239, 134.995448, 123.174535, 0.265366, 0.299318, faces
145.597766, 113.839365, 96.371976, 0.382305, 0.312276, faces
136.396862, 110.231652, 105.721917, 0.239536, 0.366562, faces
121.631540, 131.638971, 73.195600, 0.595932, 0.671225, vegetables
47.923103, 88.907216, 39.263985, 0.702015, 0.578080, vegetables
187.847145, 193.602778, 173.869985, 0.175559, 0.424074, vegetables
167.051745, 183.695234, 145.552170, 0.322714, 0.551745, vegetables
125.746271, 152.069660, 92.859568, 0.539808, 0.769914, vegetables
110.879965, 139.727963, 57.521697, 0.659320, 0.813953, vegetables
90.664600, 121.874804, 79.043328, 0.417043, 0.867033, vegetables
116.252365, 143.345215, 92.242978, 0.429413, 0.770664, vegetables
175.287946, 125.684620, 69.793275, 0.654586, 0.545075, vegetables
166.021800, 107.825207, 77.749197, 0.596874, 0.819562, vegetables
152.615019, 160.552513, 146.071881, 0.234067, 0.358112, vegetables
148.648850, 97.281648, 46.693210, 0.759178, 0.555254, vegetables
151.591372, 98.444504, 33.966302, 0.778047, 0.486418, vegetables
74.829397, 90.774130, 46.049874, 0.592828, 0.757653, vegetables
78.815429, 104.375816, 67.820678, 0.483232, 0.181102, vegetables
193.569288, 35.297808, 14.058767, 0.930687, 0.158908, vegetables
101.354154, 125.372746, 90.064075, 0.356390, 0.634400, vegetables
207.368202, 210.481486, 196.771127, 0.119183, 0.104457, vegetables
154.919799, 172.450298, 125.980591, 0.387656, 0.526466, vegetables
85.453450, 97.503558, 31.271142, 0.656169, 0.488067, vegetables
